"Cancer Site Comparison"
"Recent Trends in SEER Age-Adjusted Incidence Rates, 2000-2022"
"Female By Cancer Site, Delay-adjusted SEER Incidence Rate, All Races / Ethnicities, All Ages, All Stages"

"Regression Line Segment Trends (shown on graph)"
"Cancer Site","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates"
"Cancer Site","Year Range","APC (%)","Lower 95% C.I.","Upper 95% C.I.","P-Value","Direction"
"All Cancer Sites Combined","2000-2013","-0.0","-0.6","0.1","0.72","Not Significant"
"All Cancer Sites Combined","2013-2022","0.5","0.3","1.2","<0.01","Rising"
"HR+/HER2- Breast Cancer (Female only)","2010-2022","2.0","1.6","2.4","<0.01","Rising"
"Colon and Rectum (including Appendix)","2000-2007","-2.1","-2.4","-1.8","<0.01","Falling"
"Colon and Rectum (including Appendix)","2007-2012","-3.2","-4.1","-2.8","<0.01","Falling"
"Colon and Rectum (including Appendix)","2012-2019","-0.6","-2.1","-0.4","<0.01","Falling"
"Colon and Rectum (including Appendix)","2019-2022","0.6","-0.2","1.0","0.13","Not Significant"
"Lung and Bronchus","2000-2008","0.1","-0.0","0.4","0.09","Not Significant"
"Lung and Bronchus","2008-2011","-2.4","-2.8","-1.5","<0.01","Falling"
"Lung and Bronchus","2011-2019","-0.8","-1.0","-0.3","0.01","Falling"
"Lung and Bronchus","2019-2022","-2.5","-3.1","-1.8","<0.01","Falling"
"Pancreas","2000-2013","0.9","-0.1","2.1","0.07","Not Significant"
"Pancreas","2013-2022","1.3","1.0","2.0","<0.01","Rising"


"Recent 5 and 10 Year Trends"
"Cancer Site","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates"
"Cancer Site","Year Range","AAPC (%)","Lower 95% C.I.","Upper 95% C.I.","P-Value","Direction"
"All Cancer Sites Combined","2013-2022","0.5","0.3","0.7","<0.01","Rising"
"All Cancer Sites Combined","2018-2022","0.5","0.3","1.1","<0.01","Rising"
"HR+/HER2- Breast Cancer (Female only)","2013-2022","2.0","1.6","2.4","<0.01","Rising"
"HR+/HER2- Breast Cancer (Female only)","2018-2022","2.0","1.6","2.4","<0.01","Rising"
"Colon and Rectum (including Appendix)","2013-2022","-0.2","-0.4","-0.1","0.01","Falling"
"Colon and Rectum (including Appendix)","2018-2022","0.3","-0.2","0.6","0.15","Not Significant"
"Lung and Bronchus","2013-2022","-1.4","-1.6","-1.2","<0.01","Falling"
"Lung and Bronchus","2018-2022","-2.1","-2.5","-1.8","<0.01","Falling"
"Pancreas","2013-2022","1.3","1.0","1.5","<0.01","Rising"
"Pancreas","2018-2022","1.3","1.0","1.9","<0.01","Rising"


"Data Source:"
"-SEER Incidence Data, November 2024 Submission (1975-2022), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 5.4, April 2025, National Cancer Institute using the default settings."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"-The 2020 incidence rate(s) were not used in the fit of the trend line(s) and are displayed on the graph as gray data points. Impact of COVID on SEER Cancer Incidence 2020 data [https://seer.cancer.gov/data/covid-impact.html]"
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). "
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
"-Stage at diagnosis is calculated using the Combined Summary Stage (2004+) recode, created from SEER Combined Summary Stage 2000 (2004-2017) & Derived Summary Stage 2018 (2018+). For more information, see the SEER documentation [https://seer.cancer.gov/seerstat/variables/seer/lrd-stage]."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Sun Feb 15 2026.
