"Cancer Site Comparison"
"Recent Trends in SEER Age-Adjusted Incidence Rates, 2000-2022"
"Female By Cancer Site, Delay-adjusted SEER Incidence Rate, All Races / Ethnicities, All Ages, All Stages"

"","All Cancer Sites Combined","All Cancer Sites Combined","All Cancer Sites Combined","All Cancer Sites Combined","HR+/HER2- Breast Cancer (Female only)","HR+/HER2- Breast Cancer (Female only)","HR+/HER2- Breast Cancer (Female only)","HR+/HER2- Breast Cancer (Female only)","HR+/HER2+ Breast Cancer (Female only)","HR+/HER2+ Breast Cancer (Female only)","HR+/HER2+ Breast Cancer (Female only)","HR+/HER2+ Breast Cancer (Female only)","HR-/HER2+ Breast Cancer (Female only)","HR-/HER2+ Breast Cancer (Female only)","HR-/HER2+ Breast Cancer (Female only)","HR-/HER2+ Breast Cancer (Female only)","Colon and Rectum (including Appendix)","Colon and Rectum (including Appendix)","Colon and Rectum (including Appendix)","Colon and Rectum (including Appendix)","Lung and Bronchus","Lung and Bronchus","Lung and Bronchus","Lung and Bronchus","Pancreas","Pancreas","Pancreas","Pancreas"
"Year of Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"2000","422.3","420.7","423.8","424.1","74.5","73.9","75.2","76.6","11.0","10.8","11.2","10.8","4.8","4.7","5.0","4.8","47.6","47.1","48.1","47.8","52.7","52.2","53.3","53.1","10.3","10.1","10.6","10.3"
"2001","429.1","427.5","430.7","424.0","79.3","78.7","79.9","78.1","11.2","10.9","11.4","11.2","5.0","4.8","5.2","4.9","46.5","46.0","47.0","46.7","53.2","52.7","53.8","53.2","10.2","10.0","10.5","10.4"
"2002","425.9","424.4","427.5","424.0","80.5","79.8","81.1","79.7","11.6","11.3","11.8","11.7","5.0","4.8","5.1","5.1","46.2","45.7","46.7","45.7","53.6","53.0","54.1","53.3","10.5","10.3","10.8","10.4"
"2003","418.9","417.4","420.5","423.9","82.6","82.0","83.3","81.3","11.9","11.7","12.2","12.2","5.1","4.9","5.2","5.2","44.9","44.4","45.4","44.8","53.4","52.9","53.9","53.4","10.4","10.2","10.7","10.5"
"2004","420.2","418.6","421.7","423.9","82.4","81.8","83.1","83.0","13.0","12.7","13.2","12.8","5.4","5.2","5.5","5.4","44.0","43.5","44.5","43.8","53.3","52.7","53.8","53.4","10.6","10.3","10.8","10.6"
"2005","421.3","419.8","422.8","423.8","84.8","84.2","85.4","84.6","13.2","13.0","13.5","13.3","5.6","5.5","5.8","5.5","42.5","42.1","43.0","42.9","53.7","53.2","54.3","53.5","10.8","10.6","11.1","10.7"
"2006","422.7","421.2","424.2","423.8","84.9","84.2","85.5","86.4","13.4","13.2","13.7","13.2","5.3","5.2","5.5","5.4","41.9","41.4","42.4","42.0","54.0","53.5","54.6","53.6","10.8","10.5","11.0","10.8"
"2007","426.3","424.8","427.8","423.7","86.6","85.9","87.2","88.1","13.2","12.9","13.4","13.1","5.5","5.3","5.6","5.2","41.1","40.6","41.5","41.1","53.6","53.1","54.2","53.7","10.9","10.6","11.1","10.9"
"2008","428.8","427.3","430.3","423.7","90.2","89.5","90.8","89.9","12.9","12.7","13.2","12.9","5.0","4.8","5.1","5.1","39.9","39.4","40.3","39.7","53.3","52.7","53.8","53.7","11.2","11.0","11.4","11.0"
"2009","429.7","428.2","431.2","423.6","94.4","93.7","95.0","91.7","12.6","12.3","12.8","12.8","5.0","4.8","5.1","5.0","38.4","38.0","38.8","38.4","52.7","52.2","53.2","52.5","11.0","10.8","11.2","11.1"
