"HR+/HER2+ Breast Cancer (Female only)"
"SEER Incidence Rates by Age at Diagnosis, 2018-2022"
"Female By Race/Ethnicity, Delay-adjusted SEER Incidence Rate"

"","Hispanic (any race)","Hispanic (any race)","Hispanic (any race)","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic White","Non-Hispanic White","Non-Hispanic White"
"Age at Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I."
"<1","0.0","^","^","0.0","^","^","0.0","^","^","0.0","^","^","0.0","^","^"
"1-4","0.0","^","^","0.0","^","^","0.0","^","^","0.0","^","^","0.0","^","^"
"5-9","0.0","^","^","0.0","^","^","0.0","^","^","0.0","^","^","0.0","^","^"
"10-14","0.0","^","^","0.0","^","^","0.0","^","^","0.0","^","^","0.0","^","^"
"15-19","^","^","^","0.0","^","^","^","^","^","0.0","^","^","^","^","^"
"20-24","0.3","0.2","0.5","0.0","^","^","^","^","^","^","^","^","0.4","0.3","0.5"
"25-29","2.0","1.7","2.3","^","^","^","1.7","1.2","2.3","2.9","2.4","3.5","2.1","1.8","2.4"
"30-34","4.3","3.8","4.8","^","^","^","5.1","4.4","6.0","7.2","6.3","8.1","5.8","5.4","6.3"
"35-39","8.8","8.1","9.5","^","^","^","11.0","9.9","12.3","10.9","9.8","12.1","11.9","11.3","12.5"
"40-44","15.4","14.4","16.4","18.3","10.5","29.7","20.9","19.2","22.6","19.0","17.5","20.6","19.2","18.4","20.0"
"45-49","19.8","18.7","20.9","25.8","16.0","39.3","28.1","26.1","30.1","23.2","21.5","25.0","24.4","23.5","25.3"
"50-54","23.8","22.5","25.1","23.8","14.5","36.7","31.0","28.9","33.3","24.5","22.8","26.3","26.7","25.8","27.6"
"55-59","24.7","23.3","26.2","25.3","16.1","37.9","30.9","28.7","33.3","29.7","27.8","31.6","28.8","27.9","29.7"
"60-64","27.5","25.9","29.2","33.2","22.1","47.9","28.9","26.7","31.3","30.5","28.5","32.7","28.9","28.0","29.8"
"65-69","29.0","27.1","31.0","25.8","15.3","40.7","28.6","26.2","31.2","32.0","29.7","34.5","31.6","30.6","32.5"
"70-74","26.2","24.1","28.4","43.0","26.9","64.9","26.1","23.5","28.9","31.7","29.0","34.5","32.6","31.6","33.7"
"75-79","24.2","21.7","26.8","^","^","^","19.4","16.7","22.4","32.7","29.4","36.2","31.1","29.9","32.4"
"80-84","21.3","18.5","24.4","^","^","^","18.9","15.7","22.7","28.9","25.1","33.1","29.9","28.4","31.4"
"85-89","21.9","18.3","26.0","^","^","^","12.3","9.3","16.1","20.5","16.4","25.4","25.8","24.1","27.6"
"90+","11.3","8.2","15.2","^","^","^","9.4","6.1","13.8","16.2","11.9","21.5","19.8","18.1","21.6"

"^ Estimates based on less than 16 cases are suppressed and not shown."

"Data Source:"
"-SEER Incidence Data, November 2024 Submission (1975-2022), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000."
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). "
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Sun Feb 15 2026.
