"All Cancer Sites Combined"
"Recent Trends in SEER Age-Adjusted Incidence Rates, 2000-2022"
"By Age, Delay-adjusted SEER Incidence Rate, Both Sexes, All Races / Ethnicities"

"Regression Line Segment Trends (shown on graph)"
"Age","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates"
"Age","Year Range","APC (%)","Lower 95% C.I.","Upper 95% C.I.","P-Value","Direction"
"All Ages","2000-2008","-0.1","-0.3","0.3","0.50","Not Significant"
"All Ages","2008-2013","-1.3","-2.2","-0.8","<0.01","Falling"
"All Ages","2013-2022","0.4","0.2","0.6","<0.01","Rising"
"Ages < 50","2000-2008","0.9","0.7","1.3","<0.01","Rising"
"Ages < 50","2008-2013","-0.1","-0.9","0.3","0.48","Not Significant"
"Ages < 50","2013-2022","0.8","0.6","1.2","<0.01","Rising"
"Ages 50-64","2000-2005","-0.9","-2.5","-0.2","0.03","Falling"
"Ages 50-64","2005-2008","0.9","-1.8","1.6","0.18","Not Significant"
"Ages 50-64","2008-2012","-1.9","-2.8","1.0","0.09","Not Significant"
"Ages 50-64","2012-2022","0.1","-0.2","0.5","0.34","Not Significant"
"Ages 65+","2000-2008","-0.3","-0.5","0.2","0.14","Not Significant"
"Ages 65+","2008-2013","-1.6","-2.7","-1.1","<0.01","Falling"
"Ages 65+","2013-2022","0.3","0.1","0.6","0.01","Rising"


"Recent 5 and 10 Year Trends"
"Age","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates"
"Age","Year Range","AAPC (%)","Lower 95% C.I.","Upper 95% C.I.","P-Value","Direction"
"All Ages","2013-2022","0.4","0.1","0.5","<0.01","Rising"
"All Ages","2018-2022","0.4","0.2","0.6","<0.01","Rising"
"Ages < 50","2013-2022","0.8","0.6","1.0","<0.01","Rising"
"Ages < 50","2018-2022","0.8","0.6","1.2","<0.01","Rising"
"Ages 50-64","2013-2022","0.1","-0.1","0.3","0.30","Not Significant"
"Ages 50-64","2018-2022","0.1","-0.2","0.5","0.34","Not Significant"
"Ages 65+","2013-2022","0.3","0.1","0.5","0.01","Rising"
"Ages 65+","2018-2022","0.3","0.1","0.6","0.01","Rising"


"Data Source:"
"-SEER Incidence Data, November 2024 Submission (1975-2022), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 5.4, April 2025, National Cancer Institute using the default settings."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"-The 2020 incidence rate(s) were not used in the fit of the trend line(s) and are displayed on the graph as gray data points. Impact of COVID on SEER Cancer Incidence 2020 data [https://seer.cancer.gov/data/covid-impact.html]"
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). "
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Sun Feb 15 2026.
