"Survival Summary Page","2000-2022","12 mo",2467169,15.56,17.12,54.8%,97.5%,56.2%,0.0%,0.0%,54.7%,54.9%,56.1%,56.3%
"Survival Summary Page","2000-2022","24 mo",2467169,15.56,17.12,42.3%,95.2%,44.5%,0.0%,0.0%,42.2%,42.4%,44.4%,44.5%
"Survival Summary Page","2000-2022","36 mo",2467169,15.56,17.12,35.7%,92.8%,38.4%,0.0%,0.0%,35.6%,35.7%,38.4%,38.5%
"Survival Summary Page","2000-2022","48 mo",2467169,15.56,17.12,31.4%,90.5%,34.7%,0.0%,0.0%,31.3%,31.5%,34.6%,34.8%
"Survival Summary Page","2000-2022","60 mo",2467169,15.56,17.12,28.3%,88.2%,32.0%,0.0%,0.0%,28.2%,28.3%,32.0%,32.1%
"Survival Summary Page","2000","12 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2000","24 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2000","36 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2000","48 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2000","60 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2001","12 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2001","24 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2001","36 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2001","48 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2001","60 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2002","12 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2002","24 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2002","36 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2002","48 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2002","60 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2003","12 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2003","24 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2003","36 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2003","48 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2003","60 mo",0,+,+,+,+,+,+,+,+,+,+,+
"Survival Summary Page","2004","12 mo",112786,11.59,12.37,49.2%,97.4%,50.6%,0.1%,0.2%,49.0%,49.5%,50.3%,50.9%
"Survival Summary Page","2004","24 mo",112786,11.59,12.37,36.4%,95.0%,38.4%,0.1%,0.2%,36.2%,36.7%,38.1%,38.7%
"Survival Summary Page","2004","36 mo",112786,11.59,12.37,30.3%,92.6%,32.7%,0.1%,0.1%,30.0%,30.5%,32.4%,33.0%
"Survival Summary Page","2004","48 mo",112786,11.59,12.37,26.4%,90.3%,29.2%,0.1%,0.1%,26.1%,26.6%,28.9%,29.5%
"Survival Summary Page","2004","60 mo",112786,11.59,12.37,23.6%,88.1%,26.8%,0.1%,0.1%,23.4%,23.9%,26.5%,27.1%
"Survival Summary Page","2005","12 mo",115312,11.93,12.83,49.9%,97.4%,51.2%,0.1%,0.2%,49.6%,50.2%,50.9%,51.5%
"Survival Summary Page","2005","24 mo",115312,11.93,12.83,37.3%,95.0%,39.3%,0.1%,0.2%,37.0%,37.6%,39.0%,39.6%
"Survival Summary Page","2005","36 mo",115312,11.93,12.83,31.0%,92.7%,33.5%,0.1%,0.1%,30.8%,31.3%,33.2%,33.8%
"Survival Summary Page","2005","48 mo",115312,11.93,12.83,27.1%,90.5%,30.0%,0.1%,0.1%,26.9%,27.4%,29.7%,30.3%
"Survival Summary Page","2005","60 mo",115312,11.93,12.83,24.3%,88.2%,27.5%,0.1%,0.1%,24.0%,24.5%,27.2%,27.8%
"Survival Summary Page","2006","12 mo",116560,12.25,13.12,50.4%,97.5%,51.7%,0.1%,0.2%,50.1%,50.7%,51.4%,52.0%
"Survival Summary Page","2006","24 mo",116560,12.25,13.12,37.7%,95.1%,39.6%,0.1%,0.1%,37.4%,38.0%,39.3%,39.9%
"Survival Summary Page","2006","36 mo",116560,12.25,13.12,31.4%,92.8%,33.8%,0.1%,0.1%,31.1%,31.7%,33.5%,34.1%
"Survival Summary Page","2006","48 mo",116560,12.25,13.12,27.4%,90.6%,30.2%,0.1%,0.1%,27.1%,27.6%,29.9%,30.5%
"Survival Summary Page","2006","60 mo",116560,12.25,13.12,24.5%,88.4%,27.7%,0.1%,0.1%,24.2%,24.7%,27.4%,28.0%
"Survival Summary Page","2007","12 mo",118393,12.89,13.84,51.4%,97.5%,52.7%,0.1%,0.1%,51.1%,51.7%,52.4%,53.0%
"Survival Summary Page","2007","24 mo",118393,12.89,13.84,38.8%,95.2%,40.7%,0.1%,0.1%,38.5%,39.0%,40.4%,41.0%
"Survival Summary Page","2007","36 mo",118393,12.89,13.84,32.6%,93.0%,35.1%,0.1%,0.1%,32.4%,32.9%,34.8%,35.4%
"Survival Summary Page","2007","48 mo",118393,12.89,13.84,28.6%,90.8%,31.4%,0.1%,0.1%,28.3%,28.8%,31.2%,31.7%
"Survival Summary Page","2007","60 mo",118393,12.89,13.84,25.7%,88.6%,29.0%,0.1%,0.1%,25.4%,25.9%,28.7%,29.2%
"Survival Summary Page","2008","12 mo",120702,13.33,14.37,52.0%,97.6%,53.3%,0.1%,0.1%,51.7%,52.3%,53.0%,53.6%
"Survival Summary Page","2008","24 mo",120702,13.33,14.37,39.3%,95.3%,41.3%,0.1%,0.1%,39.1%,39.6%,41.0%,41.6%
"Survival Summary Page","2008","36 mo",120702,13.33,14.37,32.9%,93.1%,35.4%,0.1%,0.1%,32.6%,33.2%,35.1%,35.6%
"Survival Summary Page","2008","48 mo",120702,13.33,14.37,29.0%,90.9%,31.9%,0.1%,0.1%,28.7%,29.3%,31.6%,32.2%
"Survival Summary Page","2008","60 mo",120702,13.33,14.37,26.0%,88.7%,29.4%,0.1%,0.1%,25.8%,26.3%,29.1%,29.6%
"Survival Summary Page","2009","12 mo",121494,13.77,14.91,52.7%,97.6%,54.0%,0.1%,0.1%,52.4%,53.0%,53.7%,54.3%
"Survival Summary Page","2009","24 mo",121494,13.77,14.91,39.9%,95.3%,41.8%,0.1%,0.1%,39.6%,40.2%,41.5%,42.1%
"Survival Summary Page","2009","36 mo",121494,13.77,14.91,33.6%,93.1%,36.1%,0.1%,0.1%,33.3%,33.8%,35.8%,36.3%
"Survival Summary Page","2009","48 mo",121494,13.77,14.91,29.5%,90.8%,32.5%,0.1%,0.1%,29.3%,29.8%,32.2%,32.8%
"Survival Summary Page","2009","60 mo",121494,13.77,14.91,26.5%,88.6%,30.0%,0.1%,0.1%,26.3%,26.8%,29.7%,30.2%
"Survival Summary Page","2010","12 mo",124088,14.35,15.62,53.3%,97.6%,54.7%,0.1%,0.1%,53.1%,53.6%,54.4%,54.9%
"Survival Summary Page","2010","24 mo",124088,14.35,15.62,40.8%,95.3%,42.8%,0.1%,0.1%,40.5%,41.1%,42.5%,43.1%
"Survival Summary Page","2010","36 mo",124088,14.35,15.62,34.3%,93.0%,36.9%,0.1%,0.1%,34.1%,34.6%,36.6%,37.2%
"Survival Summary Page","2010","48 mo",124088,14.35,15.62,30.1%,90.7%,33.2%,0.1%,0.1%,29.9%,30.4%,32.9%,33.5%
"Survival Summary Page","2010","60 mo",124088,14.35,15.62,27.1%,88.5%,30.7%,0.1%,0.1%,26.9%,27.4%,30.4%,30.9%
"Survival Summary Page","2011","12 mo",125030,14.75,16.05,54.0%,97.6%,55.3%,0.1%,0.1%,53.7%,54.3%,55.0%,55.6%
"Survival Summary Page","2011","24 mo",125030,14.75,16.05,41.2%,95.4%,43.2%,0.1%,0.1%,40.9%,41.5%,42.9%,43.5%
"Survival Summary Page","2011","36 mo",125030,14.75,16.05,34.6%,93.2%,37.2%,0.1%,0.1%,34.4%,34.9%,36.9%,37.5%
"Survival Summary Page","2011","48 mo",125030,14.75,16.05,30.5%,91.0%,33.5%,0.1%,0.1%,30.2%,30.7%,33.2%,33.8%
"Survival Summary Page","2011","60 mo",125030,14.75,16.05,27.4%,88.7%,30.9%,0.1%,0.1%,27.2%,27.7%,30.6%,31.2%
"Survival Summary Page","2012","12 mo",127693,15.27,16.73,54.5%,97.6%,55.9%,0.1%,0.1%,54.3%,54.8%,55.6%,56.1%
"Survival Summary Page","2012","24 mo",127693,15.27,16.73,42.0%,95.4%,44.0%,0.1%,0.1%,41.7%,42.2%,43.7%,44.3%
"Survival Summary Page","2012","36 mo",127693,15.27,16.73,35.4%,93.2%,38.0%,0.1%,0.1%,35.1%,35.6%,37.7%,38.2%
"Survival Summary Page","2012","48 mo",127693,15.27,16.73,31.2%,90.9%,34.3%,0.1%,0.1%,30.9%,31.4%,34.0%,34.6%
"Survival Summary Page","2012","60 mo",127693,15.27,16.73,28.2%,88.7%,31.8%,0.1%,0.1%,27.9%,28.4%,31.5%,32.1%
"Survival Summary Page","2013","12 mo",131010,15.74,17.24,55.2%,97.6%,56.5%,0.1%,0.1%,54.9%,55.4%,56.2%,56.8%
"Survival Summary Page","2013","24 mo",131010,15.74,17.24,42.4%,95.4%,44.5%,0.1%,0.1%,42.1%,42.7%,44.2%,44.7%
"Survival Summary Page","2013","36 mo",131010,15.74,17.24,35.8%,93.2%,38.4%,0.1%,0.1%,35.6%,36.1%,38.2%,38.7%
"Survival Summary Page","2013","48 mo",131010,15.74,17.24,31.6%,90.9%,34.8%,0.1%,0.1%,31.4%,31.9%,34.5%,35.0%
"Survival Summary Page","2013","60 mo",131010,15.74,17.24,28.6%,88.7%,32.2%,0.1%,0.1%,28.3%,28.8%,31.9%,32.5%
"Survival Summary Page","2014","12 mo",134197,16.20,17.85,55.5%,97.6%,56.8%,0.1%,0.1%,55.2%,55.7%,56.6%,57.1%
